time,temp,humidity,location,temp_outside,humidity_outside,location_outside
2021-09-02 02:00:00,71.96,54.6,Backyard,62.0,56.0,Outside
2021-09-02 02:00:00,64.4,58.5,Lower Southeast,62.0,56.0,Outside
2021-09-02 02:00:00,64.04,62.5,Lower Southwest,62.0,56.0,Outside
2021-09-02 02:00:00,69.08,56.5,Upper East (Garage),62.0,56.0,Outside
2021-09-02 02:00:00,68.54,54.09,Upper West (Bedroom),62.0,56.0,Outside
2021-09-02 02:00:00,62.0,56.0,Outside,62.0,56.0,Outside
2021-09-02 03:00:00,62.96,59.7,Lower Northeast,57.0,64.0,Outside
2021-09-02 03:00:00,71.78,54.5,Backyard,57.0,64.0,Outside
2021-09-02 03:00:00,64.22,58.4,Lower Southeast,57.0,64.0,Outside
2021-09-02 03:00:00,64.22,62.6,Lower Southwest,57.0,64.0,Outside
2021-09-02 03:00:00,69.08,56.4,Upper East (Garage),57.0,64.0,Outside
2021-09-02 03:00:00,68.54,53.59,Upper West (Bedroom),57.0,64.0,Outside
2021-09-02 03:00:00,57.0,64.0,Outside,57.0,64.0,Outside
2021-09-02 04:00:00,62.78,59.8,Lower Northeast,56.0,69.0,Outside
2021-09-02 04:00:00,71.78,54.3,Backyard,56.0,69.0,Outside
2021-09-02 04:00:00,64.22,58.4,Lower Southeast,56.0,69.0,Outside
2021-09-02 04:00:00,64.04,62.7,Lower Southwest,56.0,69.0,Outside
2021-09-02 04:00:00,69.08,57.5,Upper East (Garage),56.0,69.0,Outside
2021-09-02 04:00:00,68.36,54.69,Upper West (Bedroom),56.0,69.0,Outside
2021-09-02 04:00:00,56.0,69.0,Outside,56.0,69.0,Outside
2021-09-02 05:00:00,62.6,59.7,Lower Northeast,58.0,65.0,Outside
2021-09-02 05:00:00,71.6,54.2,Backyard,58.0,65.0,Outside
2021-09-02 05:00:00,64.22,58.7,Lower Southeast,58.0,65.0,Outside
2021-09-02 05:00:00,64.04,62.8,Lower Southwest,58.0,65.0,Outside
2021-09-02 05:00:00,69.08,57.0,Upper East (Garage),58.0,65.0,Outside
2021-09-02 05:00:00,68.18,54.89,Upper West (Bedroom),58.0,65.0,Outside
2021-09-02 05:00:00,58.0,65.0,Outside,58.0,65.0,Outside
2021-09-02 06:00:00,62.42,60.5,Lower Northeast,56.0,72.0,Outside
2021-09-02 06:00:00,71.6,54.2,Backyard,56.0,72.0,Outside
